2026-06-28 17:09:51,784 | DEBUG    | httpcore.connection:atrace:87 | close.started
2026-06-28 17:09:51,785 | DEBUG    | httpcore.connection:atrace:87 | close.complete
2026-06-28 17:09:55,533 | DEBUG    | httpcore.connection:atrace:87 | connect_tcp.started host='image.pollinations.ai' port=443 local_address=None timeout=120.0 socket_options=None
2026-06-28 17:09:55,557 | DEBUG    | httpcore.connection:atrace:87 | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x0000017C05F2EB70>
2026-06-28 17:09:55,559 | DEBUG    | httpcore.connection:atrace:87 | start_tls.started ssl_context=<ssl.SSLContext object at 0x0000017C0562B620> server_hostname='image.pollinations.ai' timeout=120.0
2026-06-28 17:09:55,584 | DEBUG    | httpcore.connection:atrace:87 | start_tls.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x0000017C05F2E8A0>
2026-06-28 17:09:55,585 | DEBUG    | httpcore.http11:atrace:87 | send_request_headers.started request=<Request [b'GET']>
2026-06-28 17:09:55,586 | DEBUG    | httpcore.http11:atrace:87 | send_request_headers.complete
2026-06-28 17:09:55,587 | DEBUG    | httpcore.http11:atrace:87 | send_request_body.started request=<Request [b'GET']>
2026-06-28 17:09:55,589 | DEBUG    | httpcore.http11:atrace:87 | send_request_body.complete
2026-06-28 17:09:55,590 | DEBUG    | httpcore.http11:atrace:87 | receive_response_headers.started request=<Request [b'GET']>
